date;ticker;family;group_col;quote;yield_val;duration;convexity
03-03-2026;BCHICD0815;BE;BE;103,0925332;0,0253;5,022486587;29,94458545
03-03-2026;BCHICE1215;BE;BE;103,4808803;0,0258;5,280269392;33,03160424
03-03-2026;BCHICF0815;BE;BE;103,2882472;0,0254;5,45051194;34,95586887
03-03-2026;BCHICG0815;BE;BE;103,1585079;0,026;5,866826924;40,18880053
03-03-2026;BCHICH1215;BE;BE;103,3836738;0,0267;6,111240723;43,61166504
03-03-2026;BCHICI0815;BE;BE;103,7122697;0,0264;6,26510247;45,64073321
03-03-2026;BCHICJ1215;BE;BE;104,2467311;0,0267;6,497681356;49,18323229
03-03-2026;BCHICK0815;BE;BE;103,8737798;0,0265;6,665698249;51,45694921
03-03-2026;BCHICL1015;BE;BE;105,1336124;0,0263;6,731164712;52,97037051
03-03-2026;BCHICM1215;BE;BE;103,7721862;0,0276;6,893523597;55,10435061
03-03-2026;BCHICN0815;BE;BE;102,1396887;0,0293;7,056792436;57,25365169
03-03-2026;BCHICO1215;BE;BE;104,5230912;0,0269;7,28719597;61,50095781
03-03-2026;BCHICP0815;BE;BE;103,8316186;0,0272;7,45333825;63,9471814
03-03-2026;BCHICQ1015;BE;BE;104,6131751;0,0276;7,503966239;65,41198679
03-03-2026;BCHICR1215;BE;BE;104,2693666;0,0274;7,672112731;68,0097733
03-04-2025;BCHICA1015;BE;BE;100,261286;0,0295;5,109972104;30,6087074
03-04-2025;BCHICB1215;BE;BE;101,8597799;0,0294;5,189627364;31,83865913
03-04-2025;BCHICC0815;BE;BE;100,8216693;0,0304;5,357669445;33,610824
03-04-2025;BCHICD0815;BE;BE;100,789337;0,0305;5,770658139;38,72304279
03-04-2025;BCHICE1215;BE;BE;101,4397966;0,0303;6,015128126;42,14918977
03-04-2025;BCHICF0815;BE;BE;101,0065749;0,0302;6,184949674;44,27018444
03-04-2025;BCHICG0815;BE;BE;101,6351283;0,0293;6,5907978;50,14257351
03-04-2025;BCHICH1215;BE;BE;102,3050901;0,0291;6,823890295;53,92862646
03-04-2025;BCHICI0815;BE;BE;102,5757571;0,029;6,972809054;56,0912136
03-04-2025;BCHICJ1215;BE;BE;101,3873627;0,0315;7,18195033;59,50861247
03-04-2025;BCHICK0815;BE;BE;100,9702446;0,0314;7,349846963;61,96778296
03-04-2025;BCHICL1015;BE;BE;100,5691325;0,0312;7,517269623;64,48975886
03-04-2025;BCHICM1215;BE;BE;101,0583508;0,032;7,563298742;65,84982603
03-04-2025;BCHICN0815;BE;BE;100,6369324;0,0318;7,733821946;68,48369836
03-04-2025;BCHICO1215;BE;BE;102,045881;0,0307;7,946712166;72,76236812
03-04-2025;BCHICP0815;BE;BE;101,2761865;0,0311;8,111797099;75,36319493
